need steps: 54563, result: success!
need steps: 32616, result: success!
need steps: 135285, result: success!
need steps: 55806, result: success!
need steps: 147856, result: success!
need steps: 20876, result: success!
need steps: 207973, result: success!
need steps: 79997, result: success!
need steps: 41489, result: success!
need steps: 33308, result: success!
need steps: 14061, result: success!
need steps: 97757, result: success!
need steps: 92448, result: success!
need steps: 6398, result: success!
need steps: 95892, result: success!
need steps: 9314, result: success!
need steps: 126999, result: success!
need steps: 2699, result: success!
need steps: 17171, result: success!
need steps: 14902, result: success!
need steps: 65397, result: success!
need steps: 7066, result: success!
need steps: 114360, result: success!
need steps: 32572, result: success!
need steps: 53264, result: success!
need steps: 59072, result: success!
need steps: 215432, result: success!
need steps: 8811, result: success!
need steps: 11248, result: success!
need steps: 25420, result: success!
success number: 30, average success steps: 62668need 1.21559 seconds
