need steps: 22, result: success
need steps: 27, result: success
need steps: 16, result: success
need steps: 8, result: success
need steps: 18, result: success
need steps: 23, result: success
need steps: 27, result: success
need steps: 15, result: success
need steps: 19, result: success
need steps: 20, result: success
need steps: 20, result: success
need steps: 17, result: success
need steps: 21, result: success
need steps: 24, result: success
need steps: 21, result: success
need steps: 23, result: success
need steps: 14, result: success
need steps: 23, result: success
need steps: 21, result: success
need steps: 25, result: success
need steps: 15, result: success
need steps: 28, result: success
need steps: 23, result: success
need steps: 20, result: success
need steps: 26, result: success
need steps: 25, result: success
need steps: 29, result: success
need steps: 25, result: success
need steps: 25, result: success
need steps: 23, result: success
success number: 30, average success steps: 21, need8.06111 seconds
